PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 Population Source Population_gp category color cat_gp group
0.0800122 -0.130704 -0.0336209 -0.038606 -0.00748611 -0.000450439 -0.00140154 -0.0294935 -0.000236318 -0.00284811 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0819455 -0.127552 -0.031155 -0.0368828 -0.0106873 -0.00487066 0.00114452 -0.0199037 0.00468362 -0.00284735 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0611785 -0.0204013 0.0892102 0.0193407 0.00215862 0.00102731 -0.00167494 -0.000602576 0.00245059 -0.0051678 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0833643 -0.126144 -0.0339407 -0.0340634 -0.0133617 -0.00326638 -0.00203615 -0.0211 0.00216803 -0.000384766 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0577379 -0.00971653 0.0979526 0.0234562 0.000609387 0.00105731 -0.001584 -0.000851061 0.00588562 -0.00688474 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0680399 0.140077 -0.00849996 -0.0297093 0.00277719 -0.0256503 0.000194617 3.7226e-05 0.000797373 -0.000203064 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.082148 -0.126615 -0.0315635 -0.0380687 -0.00913903 0.00012509 -0.00130347 -0.0188058 0.0033331 -0.000755252 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0687465 0.118342 0.00243654 -0.01057 -0.00367855 0.0208558 7.44637e-06 -0.000184072 0.00129809 0.000606403 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0824883 -0.126778 -0.0306862 -0.0378607 -0.0103269 -0.00227176 -0.0015566 -0.0241632 0.00336714 -0.00247593 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0805039 -0.126931 -0.0291849 -0.0355728 -0.00670823 -0.00156243 -0.000152034 -0.0149334 0.00266756 -0.00147684 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0825878 -0.126864 -0.0329083 -0.03575 -0.0108748 -0.00399088 -0.00122405 -0.0205595 0.00369392 -0.00182113 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0800662 -0.127457 -0.0309987 -0.0359472 -0.00576987 -0.00409296 -0.000445544 -0.0210621 0.000481304 0.000162458 Other COMBAT Unknown (Other) Other 7 Unknown (Other) COMBAT_nonEUR
0.0806298 -0.126401 -0.0354802 -0.0353678 -0.00797327 -0.00379884 -6.63103e-06 -0.0208868 0.00245843 -0.00343632 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0816647 -0.128531 -0.0334686 -0.0365525 -0.00534952 -0.00233156 0.000265368 -0.0198902 0.00191461 -0.00318351 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0839413 -0.123232 -0.0346226 -0.0388784 -0.00629355 -0.00213728 -0.000381428 -0.0186146 0.00344082 0.00111124 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0819214 -0.127045 -0.0325197 -0.0356044 -0.0076025 -0.00122351 -0.000941154 -0.0193453 0.00296259 -0.00230035 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0815704 -0.127391 -0.0362095 -0.0379742 -0.0070028 -0.00320869 -0.00168353 -0.0177522 0.00419102 -0.00121408 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0784051 -0.127592 -0.0326496 -0.0396355 -2.5663e-05 -0.000449452 -0.00234981 -0.0117712 0.00085287 -0.000741034 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0822424 -0.126784 -0.0311943 -0.0385505 -0.00982514 -0.00259005 -0.00189694 -0.0246802 0.00121066 -0.00157561 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0845785 -0.128256 -0.0306425 -0.0363224 -0.00347166 -0.00248426 -0.000615264 -0.0205775 0.000732482 0.00015565 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0822965 -0.125439 -0.0331098 -0.0370864 -0.00627082 -0.00160478 -0.00080584 -0.0212446 0.00304355 7.08464e-05 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0837772 -0.125054 -0.0298347 -0.0370525 -0.0285041 -0.00392251 -0.00107027 -0.018957 0.00141089 -0.000149307 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0831006 -0.126915 -0.0336596 -0.0375567 -0.00807164 -0.00302124 -0.000334955 -0.0214651 0.00220251 -0.00196348 White-British COMBAT EUR White-British 4 EUR COMBAT_EUR
0.0815251 -0.121336 -0.0306531 -0.0368076 -0.0113761 -0.000936876 -0.00311874 -0.0478806 0.00955772 -0.0118951 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0803619 -0.122254 -0.0283677 -0.0353915 -0.0130498 -0.00211639 -0.00172809 -0.0466716 0.00487255 -0.00607631 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.080874 -0.121771 -0.0326398 -0.034351 -0.0153224 -0.00217236 -0.00180965 -0.0582098 0.00869195 -0.0102642 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0811329 -0.12334 -0.0296134 -0.0369113 -0.00742743 -0.0012961 -0.00341414 -0.0615813 0.0134614 -0.0115331 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
