gene	B	CD4	CD8	NK	cMono	ncMono
MICOS10	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
DDOST	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CDC42	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CCDC163	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ECHDC2	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
LRRIQ3	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
GSTM4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CHI3L2	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
FCRL3	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MGST3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
KIAA0040	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
RGS16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
FAM177B	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SH3YL1	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
GPATCH11	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
CEBPZ	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
EML4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SOCS5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
REL	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
C2orf74	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PLEK	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
IGKV1D-13	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
KANSL3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AFF3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
NCK2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
GCC2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
MYO7B	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
RBM43	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
WDSUB1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
METTL8	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
ATP5MC3	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PPIL3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CNOT9	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
HDLBP	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DNASE1L3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
CD96	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
EAF2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
HSPBAP1	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF718	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
HTT	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
TMEM156	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ARHGAP24	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
TIFA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
USP53	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
RPS3A	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
GPM6A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
CENPK	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
BTF3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
NSA2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ERAP2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
RPS14	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
ANXA6	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
GM2A	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
HIGD2A	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
BTNL9	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
LY86	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
DSP	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
GCNT2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
RNF144B	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
CARMIL1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
BTN3A2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HLA-F	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
HLA-C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HLA-B	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HLA-DRB5	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
HLA-DRB1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
HLA-DQA1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
HLA-DQB1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HLA-DQA2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HLA-DQB2	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
HLA-DOB	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
HLA-DPA1	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
HLA-DPB1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
RPS18	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TAPBP	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
