COMBAT_cell	dataset	rep_status	N	status	Total	prop
B	ONEK1K	both	137	COMBAT and OneK1K	203	0.67487684729064
B	ONEK1K	COMBAT_only	66	COMBAT only	203	0.32512315270936
B	WANG	both	58	COMBAT and Wang	203	0.285714285714286
B	WANG	COMBAT_only	145	COMBAT only	203	0.714285714285714
CD4	ONEK1K	both	746	COMBAT and OneK1K	1090	0.684403669724771
CD4	ONEK1K	COMBAT_only	344	COMBAT only	1090	0.315596330275229
CD4	WANG	both	257	COMBAT and Wang	1090	0.235779816513761
CD4	WANG	COMBAT_only	833	COMBAT only	1090	0.764220183486239
CD8	ONEK1K	both	320	COMBAT and OneK1K	471	0.679405520169851
CD8	ONEK1K	COMBAT_only	151	COMBAT only	471	0.320594479830149
CD8	WANG	both	122	COMBAT and Wang	471	0.259023354564756
CD8	WANG	COMBAT_only	349	COMBAT only	471	0.740976645435244
NK	ONEK1K	both	292	COMBAT and OneK1K	379	0.770448548812665
NK	ONEK1K	COMBAT_only	87	COMBAT only	379	0.229551451187335
NK	WANG	both	114	COMBAT and Wang	379	0.300791556728232
NK	WANG	COMBAT_only	265	COMBAT only	379	0.699208443271768
cMono	ONEK1K	both	247	COMBAT and OneK1K	861	0.286875725900116
cMono	ONEK1K	COMBAT_only	614	COMBAT only	861	0.713124274099884
cMono	WANG	both	262	COMBAT and Wang	861	0.304297328687573
cMono	WANG	COMBAT_only	599	COMBAT only	861	0.695702671312427
ncMono	ONEK1K	both	94	COMBAT and OneK1K	171	0.549707602339181
ncMono	ONEK1K	COMBAT_only	77	COMBAT only	171	0.450292397660819
ncMono	WANG	both	57	COMBAT and Wang	171	0.333333333333333
ncMono	WANG	COMBAT_only	114	COMBAT only	171	0.666666666666667
