trait	hit_combat	hit_onek1k	hit_both	hit_neither	type	proportion	raw_value
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	4	5	3	30	COMBAT only	0.0952380952380952	4
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	4	5	3	30	OneK1K only	0.119047619047619	5
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	4	5	3	30	COMBAT and OneK1K	0.0714285714285714	3
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	4	5	3	30	Neither	0.714285714285714	30
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	3	27	8	186	COMBAT only	0.0133928571428571	3
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	3	27	8	186	OneK1K only	0.120535714285714	27
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	3	27	8	186	COMBAT and OneK1K	0.0357142857142857	8
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	3	27	8	186	Neither	0.830357142857143	186
COVID-19 (critical illness vs population or mild symptoms)	2	2	2	42	COMBAT only	0.0416666666666667	2
COVID-19 (critical illness vs population or mild symptoms)	2	2	2	42	OneK1K only	0.0416666666666667	2
COVID-19 (critical illness vs population or mild symptoms)	2	2	2	42	COMBAT and OneK1K	0.0416666666666667	2
COVID-19 (critical illness vs population or mild symptoms)	2	2	2	42	Neither	0.875	42
Hay fever and/or eczema	2	23	4	125	COMBAT only	0.012987012987013	2
Hay fever and/or eczema	2	23	4	125	OneK1K only	0.149350649350649	23
Hay fever and/or eczema	2	23	4	125	COMBAT and OneK1K	0.025974025974026	4
Hay fever and/or eczema	2	23	4	125	Neither	0.811688311688312	125
Ulcerative colitis	2	8	4	76	COMBAT only	0.0222222222222222	2
Ulcerative colitis	2	8	4	76	OneK1K only	0.0888888888888889	8
Ulcerative colitis	2	8	4	76	COMBAT and OneK1K	0.0444444444444444	4
Ulcerative colitis	2	8	4	76	Neither	0.844444444444444	76
Alzheimer's disease or family history of Alzheimer's disease	1	3	0	65	COMBAT only	0.0144927536231884	1
Alzheimer's disease or family history of Alzheimer's disease	1	3	0	65	OneK1K only	0.0434782608695652	3
Alzheimer's disease or family history of Alzheimer's disease	1	3	0	65	COMBAT and OneK1K	0	0
Alzheimer's disease or family history of Alzheimer's disease	1	3	0	65	Neither	0.942028985507246	65
Amyotrophic lateral sclerosis	1	0	0	5	COMBAT only	0.166666666666667	1
Amyotrophic lateral sclerosis	1	0	0	5	OneK1K only	0	0
Amyotrophic lateral sclerosis	1	0	0	5	COMBAT and OneK1K	0	0
Amyotrophic lateral sclerosis	1	0	0	5	Neither	0.833333333333333	5
Autoimmune neurological syndromes with anti-GAD65 autoantibodies	1	1	0	33	COMBAT only	0.0285714285714286	1
Autoimmune neurological syndromes with anti-GAD65 autoantibodies	1	1	0	33	OneK1K only	0.0285714285714286	1
Autoimmune neurological syndromes with anti-GAD65 autoantibodies	1	1	0	33	COMBAT and OneK1K	0	0
Autoimmune neurological syndromes with anti-GAD65 autoantibodies	1	1	0	33	Neither	0.942857142857143	33
Autoimmune traits	1	9	3	59	COMBAT only	0.0138888888888889	1
Autoimmune traits	1	9	3	59	OneK1K only	0.125	9
Autoimmune traits	1	9	3	59	COMBAT and OneK1K	0.0416666666666667	3
Autoimmune traits	1	9	3	59	Neither	0.819444444444444	59
COVID-19 (hospitalized covid vs population)	1	6	1	39	COMBAT only	0.0212765957446809	1
COVID-19 (hospitalized covid vs population)	1	6	1	39	OneK1K only	0.127659574468085	6
COVID-19 (hospitalized covid vs population)	1	6	1	39	COMBAT and OneK1K	0.0212765957446809	1
COVID-19 (hospitalized covid vs population)	1	6	1	39	Neither	0.829787234042553	39
