QUERY_SNP	GWAS_SNP	GWAS_TRAIT	GWAS_STUDY	EQTL_CELL_TYPE	EQTL_GENE_NAME	EQTL_CELL_count
rs1076556	rs11264349	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	SCAMP3	3
rs1076556	rs11264349	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Effector memory/TEMRA	SCAMP3	3
rs1076556	rs11264349	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	SCAMP3	3
rs10902704	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Effector memory/TEMRA	PHACTR4	2
rs10902704	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	PHACTR4	2
rs11121242	rs2065603	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Recruiting Cell	ENO1	2
rs11121242	rs2065603	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	ENO1	2
rs11264352	rs11264349	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Cell	SCAMP3	1
rs12139364	rs2036021	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	MUTYH	1
rs12141053	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	TRNAU1AP	1
