QUERY_SNP	GWAS_SNP	GWAS_TRAIT	EQTL_CELL_TYPE	EQTL_GENE_NAME	EQTL_CELL_count
rs200968609	rs3766606	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	cMono	PARK7	1
rs200968609	rs3766606	Ulcerative colitis	cMono	PARK7	1
rs34791736	rs2258734	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD4	MMEL1	1
rs34791736	rs897628	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD4	MMEL1	1
rs34878017	rs3766606	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD4	PARK7	1
rs34878017	rs3766606	Ulcerative colitis	CD4	PARK7	1
rs4908400	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	cMono	PHACTR4	1
rs4908405	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	CD4	PHACTR4	1
rs71500084	rs2036021	Resistance to COVID-19 infection (Exposed negative vs positive)	CD4	MUTYH	1
rs75972122	rs6697886	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	cMono	CDK11A	1
rs1324551	rs1800682	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	cMono	ACTA2	1
rs1800682	rs1800682	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	ncMono	ACTA2	1
rs1874151	rs2270550	Resistance to COVID-19 infection (Exposed negative vs positive)	CD4	VCL	1
rs7069061	rs1800682	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD4	ACTA2	3
rs7069061	rs1800682	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD8	ACTA2	3
rs7069061	rs1800682	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	NK	ACTA2	3
rs174535	rs174535	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD8	TMEM258	1
rs174535	rs174535	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	B	FADS1	1
rs174545	rs174535	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD4	TMEM258	1
rs568617	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD8	FIBP	1
rs583887	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD4	CTSW	5
rs583887	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	CD8	CTSW	5
rs583887	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	DP	CTSW	5
rs583887	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	DN	CTSW	5
rs583887	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	DC	CTSW	5
rs622614	rs568617	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	NK	CTSW	3
