Mode	Cell	Chr	Gene	SNP	SNP_TSS	maf	pq_val	slope	slope_se
cis-independent	CD8	1	ENSG00000134202	rs1332018	-167	0.539474	2.50231e-18	1.19072	0.0947428
cis-independent	CD8	1	ENSG00000130775	rs11247705	13217	0.401316	6.2659e-15	-1.0584	0.101975
cis-independent	CD8	1	ENSG00000135778	rs57032387	-24851	0.177632	1.39375e-13	1.54534	0.16179
cis-independent	CD8	1	ENSG00000244038	rs75800060	-43730	0.407895	5.06527e-13	0.628259	0.068197
cis-independent	CD8	1	ENSG00000117226	rs72726528	-32555	0.296053	3.3146e-12	-0.824371	0.0945041
cis-independent	CD8	1	ENSG00000280670	rs12047498	-11114	0.296053	3.66019e-12	1.18681	0.136456
cis-independent	CD8	1	ENSG00000070831	rs2501279	-10779	0.611842	3.80685e-12	-0.742951	0.0855221
cis-independent	CD8	1	ENSG00000168653	rs12043492	-34985	0.355263	1.21961e-11	-0.669423	0.0798237
cis-independent	CD8	1	ENSG00000173436	rs2792036	100904	0.184211	1.50588e-11	1.10867	0.133064
cis-independent	CD8	1	ENSG00000168765	rs3754450	-1590	0.335526	4.44978e-11	-1.17029	0.145321
cis-independent	CD8	1	ENSG00000162620	rs567060	147889	0.453947	1.02585e-09	-0.893947	0.123326
cis-independent	CD8	1	ENSG00000143184	rs4276892	-33823	0.361842	2.75542e-09	0.944152	0.13497
cis-independent	CD8	1	ENSG00000215845	rs6695707	-16277	0.125	3.61693e-09	-0.953875	0.137735
cis-independent	CD8	1	ENSG00000171943	rs12060031	316676	0.328947	1.25626e-08	0.891723	0.135004
cis-independent	CD8	1	ENSG00000069424	rs11121518	-135227	0.164474	1.42224e-08	0.872138	0.132682
cis-independent	CD8	1	ENSG00000273136	rs28868607	-377821	0.677632	2.88243e-08	0.808913	0.126579
cis-independent	CD8	1	ENSG00000142794	rs10916990	-3490	0.526316	3.48756e-08	-0.90329	0.142448
cis-independent	CD8	1	ENSG00000162688	rs12136335	-15494	0.236842	4.43169e-08	-0.889498	0.141661
cis-independent	CD8	1	ENSG00000162704	rs789185	-50638	0.388158	1.14222e-07	0.399831	0.0662798
cis-independent	CD8	1	ENSG00000116489	rs3013438	39780	0.506579	1.87894e-07	-0.494075	0.0837118
cis-independent	CD8	1	ENSG00000143185	rs61801307	-16287	0.190789	1.9298e-07	-0.896933	0.152149
cis-independent	CD8	1	ENSG00000134256	rs12735582	17359	0.0789474	2.69785e-07	1.47214	0.253513
cis-independent	CD8	1	ENSG00000116791	rs28857918	8117	0.723684	5.22869e-07	-0.73834	0.131097
cis-independent	CD8	1	ENSG00000235750	rs2269650	-32222	0.381579	5.65648e-07	0.687685	0.122557
cis-independent	CD8	1	ENSG00000075151	rs212546	91799	0.105263	1.02339e-06	-0.88839	0.162914
cis-independent	CD8	1	ENSG00000187862	rs35091159	8291	0.282895	1.28728e-06	0.650187	0.120592
cis-independent	CD8	1	ENSG00000163382	rs34914627	-21952	0.671053	1.69879e-06	0.58593	0.110199
cis-independent	CD8	1	ENSG00000263528	rs1539243	3967	0.756579	1.73503e-06	-0.806325	0.151812
cis-independent	CD8	1	ENSG00000213625	rs71706963	5058	0.546053	1.75597e-06	-0.545458	0.102759
cis-independent	CD8	1	ENSG00000117533	rs200620211	-48921	0.157895	2.20896e-06	1.15083	0.219367
cis-independent	CD8	2	ENSG00000035115	rs17713729	30225	0.407895	6.59443e-20	-0.880876	0.0645466
cis-independent	CD8	2	ENSG00000237651	rs1729660	-6392	0.407895	4.49148e-16	1.11537	0.1005
cis-independent	CD8	2	ENSG00000135968	rs35817047	31650	0.559211	1.62647e-13	0.766105	0.0805512
cis-independent	CD8	2	ENSG00000184898	rs7587037	-2913	0.447368	1.04238e-11	-0.977691	0.116022
cis-independent	CD8	2	ENSG00000240344	rs13413479	258777	0.125	4.27144e-10	-1.18712	0.158853
cis-independent	CD8	2	ENSG00000115816	rs10865123	-35253	0.453947	1.4475e-09	-0.788113	0.110066
cis-independent	CD8	2	ENSG00000135951	rs11674894	47566	0.664474	1.75684e-09	0.858635	0.120752
cis-independent	CD8	2	ENSG00000189362	rs6717050	24540	0.243421	4.95342e-09	1.02522	0.149784
cis-independent	CD8	2	ENSG00000136717	rs34779859	28190	0.276316	1.38116e-08	0.836242	0.127075
cis-independent	CD8	2	ENSG00000168899	rs2121397	-12697	0.105263	2.52302e-07	-0.992261	0.170357
cis-independent	CD8	2	ENSG00000162924	rs67574266	202	0.342105	2.54239e-07	0.622206	0.106861
cis-independent	CD8	2	ENSG00000183891	rs35957485	-11041	0.105263	3.78763e-07	1.35256	0.236568
cis-independent	CD8	2	ENSG00000151353	rs2293083	-1230	0.75	4.48122e-07	-0.754781	0.133049
cis-independent	CD8	2	ENSG00000172954	rs11689294	-971191	0.236842	5.2556e-07	-0.797106	0.141565
cis-independent	CD8	2	ENSG00000135940	rs796688742	-297894	0.815789	8.621e-07	-0.535236	0.0973342
cis-independent	CD8	3	ENSG00000254999	rs7645667	-23	0.138158	3.23914e-11	-1.09677	0.134825
cis-independent	CD8	3	ENSG00000168038	rs139656633	526427	0.125	5.32682e-08	1.21622	0.19518
cis-independent	CD8	3	ENSG00000198919	rs13078757	141784	0.315789	1.01404e-07	0.724868	0.119545
cis-independent	CD8	3	ENSG00000144895	chr3:150614224:G:T	67545	0.276316	1.0684e-07	0.640834	0.105924
cis-independent	CD8	3	ENSG00000180376	rs7610922	-47440	0.559211	1.41567e-07	-0.537876	0.0900012
cis-independent	CD8	3	ENSG00000129055	rs10935113	-31775	0.75	2.64005e-07	0.695591	0.119668
cis-independent	CD8	4	ENSG00000145284	rs34730929	46875	0.25	8.13674e-18	1.00782	0.0824245
cis-independent	CD8	4	ENSG00000168824	rs6851623	-128	0.802632	4.32093e-16	1.09457	0.0985308
cis-independent	CD8	4	ENSG00000132406	rs2916465	-456	0.335526	6.235e-11	-1.10786	0.139065
cis-independent	CD8	4	ENSG00000145425	rs11358082	78552	0.0526316	1.14568e-08	-1.27644	0.192558
cis-independent	CD8	4	ENSG00000197386	rs2857842	-10722	0.618421	4.90529e-08	0.765976	0.122503
cis-independent	CD8	4	ENSG00000038002	rs1105059	-7131	0.276316	1.75037e-07	-0.782505	0.132164
cis-independent	CD8	4	ENSG00000109323	rs223492	-7018	0.322368	5.26277e-07	-0.649209	0.115306
cis-independent	CD8	4	ENSG00000121895	rs6855379	2996	0.618421	6.97904e-07	0.772566	0.139069
cis-independent	CD8	5	ENSG00000164308	rs2927608	40227	0.434211	2.2296e-24	1.22457	0.0721383
cis-independent	CD8	5	ENSG00000123219	rs432206	-309	0.657895	3.38075e-18	-0.973597	0.0780091
cis-independent	CD8	5	ENSG00000113504	rs35188965	-7241	0.578947	1.36522e-13	-0.966061	0.101085
cis-independent	CD8	5	ENSG00000164346	rs72764630	-65293	0.0986842	3.5011e-13	1.45273	0.156054
cis-independent	CD8	5	ENSG00000180104	rs72717425	-4482	0.434211	6.22699e-11	0.907622	0.113926
cis-independent	CD8	5	ENSG00000146066	rs13158079	-10088	0.0921053	7.85451e-09	-1.58238	0.23526
cis-independent	CD8	5	ENSG00000164307	rs469758	-22090	0.611842	2.88764e-08	-0.747259	0.11694
cis-independent	CD8	5	ENSG00000176049	rs2436340	369	0.401316	9.85987e-08	0.531207	0.0875007
cis-independent	CD8	5	ENSG00000161055	rs6422334	-36013	0.888158	1.19372e-07	-1.13165	0.187952
cis-independent	CD8	5	ENSG00000184840	rs7445507	96294	0.532895	1.22651e-07	-0.495042	0.0823169
cis-independent	CD8	5	ENSG00000152359	rs7734618	20499	0.296053	1.30936e-07	0.825013	0.137576
cis-independent	CD8	5	ENSG00000197043	rs2303038	-2328	0.269737	2.52961e-07	0.550532	0.0945294
cis-independent	CD8	5	ENSG00000155542	rs72644089	42291	0.0723684	2.72516e-07	-1.68925	0.291033
cis-independent	CD8	5	ENSG00000027847	rs114253888	-651022	0.177632	3.47739e-07	0.939949	0.163754
cis-independent	CD8	5	ENSG00000049192	rs432206	80939	0.657895	5.9013e-07	-0.948356	0.169352
cis-independent	CD8	5	ENSG00000134982	rs13166952	-604457	0.0723684	5.99405e-07	0.864892	0.154562
cis-independent	CD8	5	ENSG00000127022	rs72662130	12129	0.276316	8.45042e-07	-0.517154	0.0939548
cis-independent	CD8	5	ENSG00000164574	rs816021	-127607	0.177632	9.09983e-07	0.874947	0.15953
cis-independent	CD8	5	ENSG00000171530	rs7733735	-121522	0.565789	9.6472e-07	0.616945	0.11281
cis-independent	CD8	5	ENSG00000113048	rs114529015	329602	0.0921053	1.03867e-06	-0.94045	0.172587
cis-independent	CD8	5	ENSG00000213523	rs801458	22475	0.572368	1.75391e-06	-0.460128	0.0866787
cis-independent	CD8	5	ENSG00000197375	rs1858074	-333405	0.309211	2.63509e-06	-0.598227	0.115081
cis-independent	CD8	6	ENSG00000186470	rs9379855	-458	0.144737	3.75266e-24	-1.45062	0.0863667
cis-independent	CD8	6	ENSG00000234745	rs9266250	-8998	0.618421	1.40306e-18	-0.69985	0.0545625
cis-independent	CD8	6	ENSG00000135541	rs13197384	173204	0.394737	5.08323e-16	-0.95699	0.0864955
cis-independent	CD8	6	ENSG00000237541	rs9271589	-118041	0.315789	1.82765e-15	1.13902	0.106319
cis-independent	CD8	6	ENSG00000231925	rs3130259	-13119	0.322368	1.07223e-12	-0.653621	0.0724916
cis-independent	CD8	6	ENSG00000188820	rs117361304	1085	0.0855263	4.39741e-12	-1.52137	0.175163
cis-independent	CD8	6	ENSG00000198502	rs796514211	63746	0.5	1.27235e-11	-0.786785	0.0939405
cis-independent	CD8	6	ENSG00000204525	rs9264579	-1698	0.546053	1.11552e-10	0.502553	0.0640624
cis-independent	CD8	6	ENSG00000234745	chr6:31359924:T:G	-7089	0.0789474	5.57634e-10	-0.845887	0.113866
cis-independent	CD8	6	ENSG00000179344	rs4526236	-22722	0.375	9.09861e-10	-0.864801	0.118801
cis-independent	CD8	6	ENSG00000124588	rs10223369	29952	0.730263	1.3382e-09	-0.81265	0.112826
cis-independent	CD8	6	ENSG00000188820	rs1057192	796	0.243421	1.48973e-09	-0.813852	0.11343
cis-independent	CD8	6	ENSG00000232629	rs17211699	-105231	0.111842	2.78902e-08	1.19639	0.186485
cis-independent	CD8	6	ENSG00000279170	rs4448102	-42684	0.710526	2.80225e-08	-0.975528	0.152477
cis-independent	CD8	6	ENSG00000026297	rs430097	35034	0.519737	3.53158e-08	-0.624824	0.0985845
cis-independent	CD8	6	ENSG00000232629	rs57588792	-221256	0.302632	8.24564e-08	0.691587	0.112781
cis-independent	CD8	6	ENSG00000135596	rs12524273	-59885	0.394737	1.07547e-07	-0.766197	0.126682
cis-independent	CD8	6	ENSG00000196735	rs9272123	4616	0.263158	1.34463e-07	-0.870981	0.145411
cis-independent	CD8	6	ENSG00000164483	rs7749850	-180189	0.546053	1.95899e-07	-0.423907	0.0719566
cis-independent	CD8	6	ENSG00000066379	rs11758516	16809	0.0855263	2.06603e-07	1.0245	0.174319
cis-independent	CD8	6	ENSG00000124588	rs9378755	12756	0.25	2.09193e-07	-0.664311	0.112844
cis-independent	CD8	6	ENSG00000137411	rs2532929	15791	0.335526	2.84446e-07	0.718748	0.124071
cis-independent	CD8	6	ENSG00000206503	rs9260562	12803	0.513158	3.10839e-07	0.478396	0.0829163
cis-independent	CD8	6	ENSG00000124508	rs16891725	95825	0.157895	3.80942e-07	0.936241	0.163796
cis-independent	CD8	6	ENSG00000079691	rs17317669	126724	0.282895	4.0263e-07	0.761277	0.133528
cis-independent	CD8	6	ENSG00000204525	rs2523599	3648	0.578947	5.75238e-07	0.471295	0.0838866
cis-independent	CD8	6	ENSG00000137267	rs9405612	-12932	0.756579	6.26708e-07	0.7325	0.13118
cis-independent	CD8	6	ENSG00000146409	rs74298520	-33564	0.111842	7.48816e-07	-1.06952	0.193174
cis-independent	CD8	6	ENSG00000274618	rs3734534	27	0.151316	8.30427e-07	0.845159	0.153416
cis-independent	CD8	6	ENSG00000196126	rs3807039	-479210	0.0986842	1.66567e-06	-0.873466	0.164113
cis-independent	CD8	6	ENSG00000146386	rs6570243	-450458	0.0657895	2.14188e-06	-0.81989	0.156037
cis-independent	CD8	7	ENSG00000146733	rs6972291	-317079	0.177632	3.1731e-16	1.47771	0.132006
cis-independent	CD8	7	ENSG00000158525	rs6964569	24546	0.190789	3.79684e-15	1.3516	0.128547
cis-independent	CD8	7	ENSG00000228668	rs12532845	-260	0.230263	1.66737e-14	1.38508	0.136922
cis-independent	CD8	7	ENSG00000106153	rs73130722	-321842	0.151316	1.71012e-10	-0.447442	0.0580516
cis-independent	CD8	7	ENSG00000189077	rs112463197	-1002	0.131579	3.88317e-10	1.13618	0.151541
cis-independent	CD8	7	ENSG00000005020	rs10486485	-3854	0.282895	9.38805e-10	0.716229	0.0985
cis-independent	CD8	7	ENSG00000164597	rs2395869	-264388	0.25	1.17049e-09	0.758661	0.105153
