QUERY_SNP	GWAS_SNP	GWAS_TRAIT	GWAS_STUDY	EQTL_CELL_TYPE	EQTL_GENE_NAME	EQTL_CELL_count
rs4908400	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	cMono	PHACTR4	1
rs4908405	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4	PHACTR4	1
rs71500084	rs2036021	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4	MUTYH	1
rs1874151	rs2270550	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4	VCL	1
rs11025535	rs10437608	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	cMono	HTATIP2	1
rs11025535	rs11025535	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	cMono	HTATIP2	1
rs11025535	rs10833313	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	cMono	HTATIP2	1
rs10878953	rs7135092	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4	YEATS4	1
rs35938370	rs7135092	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8	YEATS4	1
rs57954211	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	ncMono	LYZ	1
rs7136238	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	cMono	YEATS4	1
rs10140857	rs10140801	COVID-19 severity	Genome-wide association study of hospitalized COVID-19 patients in the United Arab Emirates.	CD4	LGALS3	1
rs11547116	rs10140801	COVID-19 severity	Genome-wide association study of hospitalized COVID-19 patients in the United Arab Emirates.	CD4	FBXO34	1
rs2286412	rs7569	Mortality in COVID-19	First report on genome wide association study in western Indian population reveals host genetic factors for COVID-19 severity and outcome.	CD4	NPC2	1
rs1554999	rs1554999	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD4	IL32	1
rs11080115	rs62070270	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4	NSRP1	1
