EQTL_SNP	GWAS_SNP	GWAS_TRAIT	EQTL_CELL_TYPE	EQTL_GENE	EQTL_CELL_count
rs10752749	rs2258734	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD4	MMEL1	1
rs10752749	rs10797431	Autoimmune traits	CD4	MMEL1	1
rs10752749	rs897628	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD4	MMEL1	1
rs11083840	rs11083840	Ulcerative colitis	CD4	GNG8	1
rs11083840	rs11083840	Ulcerative colitis	CD4	PTGIR	1
rs11154801	rs761357	Autoimmune traits	CD4	AHI1	1
rs11675457	rs13407913	Ulcerative colitis	cMono	ADCY3	1
rs11682128	rs10194375	Alzheimer's disease or family history of Alzheimer's disease	NK	BIN1	1
rs12944882	rs7359623	Hay fever and/or eczema	GDT	ORMDL3	1
rs13017599	rs67574266	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD4	REL	1
rs13197384	rs761357	Autoimmune traits	CD8	AHI1	2
rs13197384	rs761357	Autoimmune traits	NK	AHI1	2
rs17660167	rs63750417	COVID-19 (hospitalized covid vs population)	CD4	KANSL1	1
rs1790116	rs1260294	Hay fever and/or eczema	cMono	CDK2AP1	1
rs2159778	rs10818483	Hay fever and/or eczema	CD8	TRAF1	1
rs2159778	rs35942002	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD8	TRAF1	1
rs2416800	rs13299616	Autoimmune traits	CD4	MEGF9	1
rs2696531	rs63750417	COVID-19 (hospitalized covid vs population)	NK	KANSL1	1
rs27291	rs1363907	Ulcerative colitis	MAIT	ERAP2	1
rs28383313	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	DC	HLA-DRB1	1
rs28383313	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	DC	HLA-DRB1	1
rs28834970	rs28834970	Alzheimer's disease or family history of Alzheimer's disease	cMono	PTK2B	1
rs2906009	rs63750417	COVID-19 (hospitalized covid vs population)	NK	LRRC37A2	1
rs2927608	rs1363907	Ulcerative colitis	CD8	ERAP2	4
rs2927608	rs1363907	Ulcerative colitis	CD4	ERAP2	4
rs2927608	rs1363907	Ulcerative colitis	NK	ERAP2	4
rs2927608	rs1363907	Ulcerative colitis	cMono	ERAP2	4
rs3104367	rs9272545	Hay fever and/or eczema	ncMono	HLA-DQB1	1
rs3104367	rs9272545	Hay fever and/or eczema	DC	HLA-DQA1	1
rs3104367	rs9272545	Hay fever and/or eczema	cMono	HLA-DQB2	1
rs3129766	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	NK	HLA-DQA2	1
rs3129766	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	NK	HLA-DQA2	1
rs34878017	rs3766606	Ulcerative colitis	CD4	PARK7	1
rs3778754	rs4728142	Ulcerative colitis	ncMono	IRF5	1
rs3778754	rs3757387	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	ncMono	IRF5	1
rs3778754	rs3807307	Autoimmune traits	ncMono	IRF5	1
rs3807306	rs3807307	Autoimmune traits	NK	IRF5	1
rs3809822	rs35776863	Autoimmune traits	CD4	KCTD11	1
rs439945	rs63750417	COVID-19 (hospitalized covid vs population)	CD4	LRRC37A2	1
